date,description,amount,category
2026-05-09,OLIVE GARDEN #4409 PHOENIX AZ,-42.82,Dining
2026-05-09,ADOBE  *CREATIVE CLD SAN JOSE CA,-18.08,Subscriptions
2026-05-09,METRO TRANSIT FARE MINNEAPOLIS MN,-51.77,Transport
2026-05-09,BANK MAINTENANCE FEE,-178.41,Other
2026-05-10,SQ *COFFEE SHOP SAN DIEGO CA,-13.19,Dining
2026-05-10,RENT PAYMENT ESSEX PROPERTY TRUST,-1752.54,Rent
2026-05-10,CASH APP*DEPOSIT,1164.89,Income
2026-05-11,STOP & SHOP #3391 BOSTON MA,-89.61,Groceries
2026-05-11,METRO TRANSIT FARE MINNEAPOLIS MN,-12.31,Transport
2026-05-12,STOP & SHOP #3391 BOSTON MA,-84.66,Groceries
2026-05-12,FIVE GUYS #1145 SAN DIEGO CA,-14.07,Dining
2026-05-12,AMZN MKTP US*2K4RT9 AMZN.COM/BILL,-73.79,Shopping
2026-05-12,LATE PAYMENT FEE,-94.11,Other
2026-05-13,FOOD LION #1145 SAN DIEGO CA,-95.56,Groceries
2026-05-13,OVERDRAFT FEE,-37.46,Other
2026-05-14,ZELLE PMT TO LANDLORD J RIVERA,-2324.97,Rent
2026-05-14,ACH DEBIT MID-AMERICA APT MGMT,-2237.81,Rent
2026-05-14,WASTE MGMT #4471 AUTOPAY,-133.45,Utilities
2026-05-15,SQ *COFFEE SHOP SAN DIEGO CA,-19.83,Dining
2026-05-15,DOORDASH*WINGSTOP SAN FRANCISCO CA,-26.92,Dining
2026-05-15,PELOTON MEMBERSHIP NYC NY,-7.15,Subscriptions
2026-05-16,COMCAST CABLE COMM 800-934-6489,-35.88,Utilities
2026-05-16,TARGET #1145 SAN DIEGO CA,-86.32,Shopping
2026-05-16,WIRE TRANSFER FEE,-163.94,Other
2026-05-17,PANERA BREAD #601934 DALLAS TX,-37.07,Dining
2026-05-17,ACH DEBIT UDR COMMUNITIES,-2303.74,Rent
2026-05-17,AMC 24 THEATRES #1187 BURBANK CA,-33.36,Entertainment
2026-05-17,BEST BUY 00003221 SEATTLE WA,-113.15,Shopping
2026-05-17,ETSY.COM - MERCH BROOKLYN NY,-16.85,Shopping
2026-05-18,COSTCO WHSE #0512 SAN JOSE CA,-94.29,Groceries
2026-05-18,ALDI 71029 CHICAGO IL,-96.97,Groceries
2026-05-18,ONLINE PMT BLUEROCK PROPERTIES LLC,-1789.70,Rent
2026-05-18,LYFT *RIDE MON 8PM SAN FRANCISCO CA,-27.08,Transport
2026-05-18,INTEREST PAYMENT SAVINGS,2465.97,Income
2026-05-18,MONEYGRAM TRANSFER,-122.42,Other
2026-05-19,MASTERCLASS ANNUAL PLAN,-17.41,Subscriptions
2026-05-19,ETSY.COM - MERCH BROOKLYN NY,-147.88,Shopping
2026-05-19,OVERDRAFT FEE,-137.57,Other
2026-05-19,WIRE TRANSFER FEE,-36.90,Other
2026-05-20,TRADER JOE'S #421 SAN DIEGO CA,-29.58,Groceries
2026-05-20,ACH DEBIT MID-AMERICA APT MGMT,-1933.03,Rent
2026-05-20,CONSOLIDATED EDISON NYC NY,-172.23,Utilities
2026-05-20,PETCO ANIMAL SUPPLIES,-36.74,Shopping
2026-05-20,TJ MAXX #0872 DENVER CO,-29.81,Shopping
2026-05-20,FOREIGN TXN FEE,-58.97,Other
2026-05-21,WHOLE FOODS MARKET,-43.44,Groceries
2026-05-21,CHIPOTLE 2841 DENVER CO,-34.14,Dining
2026-05-21,MCDONALD'S F32910 HOUSTON TX,-31.17,Dining
2026-05-21,SPOTHERO PARKING SAN FRANCISCO CA,-38.69,Transport
2026-05-21,LYFT *RIDE MON 8PM SAN FRANCISCO CA,-19.11,Transport
2026-05-21,VENMO CASHOUT DEPOSIT,2458.51,Income
2026-05-22,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-56.04,Groceries
2026-05-22,PANERA BREAD #601934 DALLAS TX,-9.97,Dining
2026-05-22,SUBWAY #8821 AUSTIN TX,-13.60,Dining
2026-05-22,AT&T *PAYMENT 800-288-2020 TX,-169.65,Utilities
2026-05-22,CASH APP*DIRECT DEPOSIT,1131.17,Income
2026-05-23,COMCAST CABLE COMM 800-934-6489,-157.23,Utilities
2026-05-23,ACH DEBIT PGE ELECTRIC BILLPAY,-69.35,Utilities
2026-05-24,ACH DEBIT UDR COMMUNITIES,-2347.93,Rent
2026-05-24,ACH CREDIT DIVIDEND PAYMENT,2468.14,Income
2026-05-25,PANERA BREAD #601934 DALLAS TX,-15.12,Dining
2026-05-25,CHIPOTLE 2841 DENVER CO,-35.80,Dining
2026-05-26,OLIVE GARDEN #4409 PHOENIX AZ,-26.22,Dining
2026-05-27,ACH DEBIT EQUITY RESIDENTIAL,-1792.44,Rent
2026-05-27,ACH DEBIT GREYSTAR MGMT RENT,-1815.70,Rent
2026-05-27,COMCAST CABLE COMM 800-934-6489,-42.60,Utilities
2026-05-27,ZELLE PMT TO J SMITH,-50.47,Other
2026-05-28,TRADER JOE'S #421 SAN DIEGO CA,-116.87,Groceries
2026-05-28,CITY PARKING GARAGE #12,-55.98,Transport
2026-05-28,BART CLIPPER RELOAD SAN FRANCISCO CA,-42.63,Transport
2026-05-28,NOTARY SERVICE FEE,-182.58,Other
2026-05-29,GROCERY OUTLET BARGAIN MKT,-62.78,Groceries
2026-05-29,H MART GROCERY,-47.74,Groceries
2026-05-29,DISNEY PLUS 888-905-7888 CA,-12.22,Subscriptions
2026-05-29,AMAZON PRIME*MI79K2 SEATTLE WA,-10.21,Subscriptions
2026-05-29,AMC 24 THEATRES #1187 BURBANK CA,-82.56,Entertainment
2026-05-29,ACH DEBIT SEWER UTILITY DIST,-65.34,Utilities
2026-05-29,ACH CREDIT DIVIDEND PAYMENT,2744.44,Income
2026-05-29,REC'D PAYPAL TRANSFER,2634.55,Income
2026-05-30,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-115.19,Groceries
2026-05-30,SPECTRUM PAYMENT CHARTER COMM,-137.77,Utilities
2026-05-30,VERIZON WIRELESS PAYMENTS,-176.25,Utilities
2026-05-30,VENMO CASHOUT DEPOSIT,2684.20,Income
2026-05-30,MISC DEBIT ADJUSTMENT,-179.41,Other
2026-05-31,ACH DEBIT MID-AMERICA APT MGMT,-1934.48,Rent
2026-05-31,HULU 877-830-4858 CA,-7.41,Subscriptions
2026-05-31,SPOTHERO PARKING SAN FRANCISCO CA,-36.41,Transport
2026-05-31,ROSS DRESS FOR LESS,-65.98,Shopping
2026-05-31,BEST BUY 00003221 SEATTLE WA,-14.65,Shopping
2026-05-31,ACH CREDIT ACME CORP PAYROLL,2320.16,Income
2026-05-31,CASH APP*DIRECT DEPOSIT,2011.38,Income
2026-05-31,NOTARY SERVICE FEE,-177.94,Other
2026-06-01,FIVE GUYS #1145 SAN DIEGO CA,-28.30,Dining
2026-06-01,MCDONALD'S F32910 HOUSTON TX,-34.69,Dining
2026-06-01,SIRIUSXM RADIO SVC,-24.05,Subscriptions
2026-06-01,SOUTHWEST.COM RESERVATIONS TX,-63.17,Transport
2026-06-01,DAVE & BUSTERS #0087 DALLAS TX,-64.22,Entertainment
2026-06-01,ETSY.COM - MERCH BROOKLYN NY,-14.73,Shopping
2026-06-01,CHECK #1042,-50.51,Other
2026-06-02,ZELLE PMT TO LANDLORD J RIVERA,-2071.48,Rent
2026-06-02,CHEVRON 0091827 LOS ANGELES CA,-37.56,Transport
2026-06-02,INTEREST PAYMENT SAVINGS,1337.30,Income
2026-06-03,H MART GROCERY,-71.82,Groceries
2026-06-03,ACH DEBIT UDR COMMUNITIES,-2261.45,Rent
2026-06-03,RENT PAYMENT AVALON BAY COMMUNITIES,-1985.88,Rent
2026-06-03,YOUTUBE PREMIUM GOOGLE.COM CA,-21.61,Subscriptions
2026-06-03,TARGET #1145 SAN DIEGO CA,-85.21,Shopping
2026-06-03,LATE PAYMENT FEE,-125.03,Other
2026-06-03,MONEYGRAM TRANSFER,-57.69,Other
2026-06-03,MISC DEBIT ADJUSTMENT,-197.00,Other
2026-06-04,ALDI 71029 CHICAGO IL,-98.00,Groceries
2026-06-04,ONLINE PMT AIMCO PROPERTIES,-2040.40,Rent
2026-06-04,CHEVRON 0091827 LOS ANGELES CA,-36.19,Transport
2026-06-04,DIRECT DEP SOCIAL SECURITY ADMIN,2054.13,Income
2026-06-05,ADOBE  *CREATIVE CLD SAN JOSE CA,-17.43,Subscriptions
2026-06-05,APPLE.COM/BILL 866-712-7753 CA,-6.63,Subscriptions
2026-06-05,MUSEUM OF MODERN ART NYC NY,-69.33,Entertainment
2026-06-05,XBOX LIVE MICROSOFT WA,-33.91,Entertainment
2026-06-06,NYTIMES*SUBSCRIPTION 800-698-4637,-12.48,Subscriptions
2026-06-06,MUSEUM OF MODERN ART NYC NY,-48.03,Entertainment
2026-06-06,ACH DEBIT GAS UTILITY CO,-97.46,Utilities
2026-06-06,INTEREST PAYMENT SAVINGS,2474.12,Income
2026-06-07,TICKETMASTER 800-653-8000 CA,-23.39,Entertainment
2026-06-07,VENMO CASHOUT DEPOSIT,3183.19,Income
2026-06-08,CHIPOTLE 2841 DENVER CO,-12.79,Dining
2026-06-08,AMAZON PRIME*MI79K2 SEATTLE WA,-11.32,Subscriptions
2026-06-08,NYTIMES*SUBSCRIPTION 800-698-4637,-13.31,Subscriptions
2026-06-08,REGAL CINEMAS 0421 NEW YORK NY,-61.13,Entertainment
2026-06-08,CRICKET WIRELESS #3221,-98.39,Utilities
2026-06-08,AMZN MKTP US*2K4RT9 AMZN.COM/BILL,-110.97,Shopping
2026-06-08,NOTARY SERVICE FEE,-27.22,Other
2026-06-08,CHECK #1042,-20.21,Other
2026-06-09,HERTZ RENT-A-CAR #4471 SAN DIEGO CA,-610.00,Transport
2026-06-09,BOWLERO #2291 CHICAGO IL,-34.66,Entertainment
2026-06-09,COMEDY CLUB DOWNTOWN LA,-53.70,Entertainment
2026-06-10,SPROUTS FARMERS MKT,-27.98,Groceries
2026-06-10,ACH DEBIT MID-AMERICA APT MGMT,-2205.00,Rent
2026-06-10,DROPBOX*SUBSCRIPTION SF CA,-11.16,Subscriptions
2026-06-10,PETCO ANIMAL SUPPLIES,-93.31,Shopping
2026-06-11,PATREON* MEMBERSHIP SF CA,-12.33,Subscriptions
2026-06-11,AMC 24 THEATRES #1187 BURBANK CA,-50.46,Entertainment
2026-06-11,TARGET #1145 SAN DIEGO CA,-106.60,Shopping
2026-06-12,ZELLE PMT TO LANDLORD J RIVERA,-2371.34,Rent
2026-06-12,NYTIMES*SUBSCRIPTION 800-698-4637,-11.01,Subscriptions
2026-06-12,BART CLIPPER RELOAD SAN FRANCISCO CA,-51.16,Transport
2026-06-12,LYFT *RIDE MON 8PM SAN FRANCISCO CA,-40.52,Transport
2026-06-12,MACY'S #0231 CHICAGO IL,-83.16,Shopping
2026-06-12,MACY'S #0231 CHICAGO IL,-16.78,Shopping
2026-06-12,ROSS DRESS FOR LESS,-138.92,Shopping
2026-06-13,SAFEWAY STORE 00456 SEATTLE WA,-46.70,Groceries
2026-06-13,STARBUCKS STORE 08812 PORTLAND OR,-16.56,Dining
2026-06-13,TICKETMASTER 800-653-8000 CA,-49.52,Entertainment
2026-06-13,XBOX LIVE MICROSOFT WA,-36.54,Entertainment
2026-06-13,VENMO CASHOUT DEPOSIT,2617.09,Income
2026-06-14,XBOX LIVE MICROSOFT WA,-27.39,Entertainment
2026-06-14,DIRECT DEP EMPLOYER DISBURSEMENT,1915.98,Income
2026-06-15,STEAMGAMES.COM 425-889-9642 WA,-51.00,Entertainment
2026-06-15,COMEDY CLUB DOWNTOWN LA,-45.97,Entertainment
2026-06-15,CHECK #1042,-174.96,Other
2026-06-16,ACH CREDIT FREELANCE PAYMENT,976.74,Income
2026-06-16,DIRECT DEP SOCIAL SECURITY ADMIN,2915.86,Income
2026-06-16,NOTARY SERVICE FEE,-114.83,Other
2026-06-17,FOOD LION #1145 SAN DIEGO CA,-81.69,Groceries
2026-06-17,ONLINE PMT BLUEROCK PROPERTIES LLC,-1828.47,Rent
2026-06-17,PLAYSTATION NETWORK SONY CA,-55.73,Entertainment
2026-06-17,BANK MAINTENANCE FEE,-176.52,Other
2026-06-17,WIRE TRANSFER FEE,-193.78,Other
2026-06-18,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-17.82,Groceries
2026-06-18,MACY'S #0231 CHICAGO IL,-44.72,Shopping
2026-06-19,PUBLIX #1187 ORLANDO FL,-57.38,Groceries
2026-06-19,ADOBE  *CREATIVE CLD SAN JOSE CA,-11.35,Subscriptions
2026-06-19,SHELL OIL 57443921 PHOENIX AZ,-56.10,Transport
2026-06-19,CHEVRON 0091827 LOS ANGELES CA,-15.86,Transport
2026-06-19,METRO TRANSIT FARE MINNEAPOLIS MN,-47.38,Transport
2026-06-19,76 - GAS STATION #3221,-36.35,Transport
2026-06-19,ETSY.COM - MERCH BROOKLYN NY,-73.93,Shopping
2026-06-19,VENMO CASHOUT DEPOSIT,1358.20,Income
2026-06-20,KROGER #0287 COLUMBUS OH,-51.18,Groceries
2026-06-20,SPOTHERO PARKING SAN FRANCISCO CA,-63.41,Transport
2026-06-20,HOME DEPOT #4409 PHOENIX AZ,-63.99,Shopping
2026-06-20,WESTERN UNION TRANSFER,-71.86,Other
2026-06-20,MONEYGRAM TRANSFER,-131.85,Other
2026-06-21,TRADER JOE'S #421 SAN DIEGO CA,-35.47,Groceries
2026-06-21,PUBLIX #1187 ORLANDO FL,-25.73,Groceries
2026-06-21,TST* THE CORNER BISTRO NYC NY,-18.62,Dining
2026-06-21,OLIVE GARDEN #4409 PHOENIX AZ,-41.36,Dining
2026-06-21,ONLINE PMT MAA APARTMENTS,-2261.06,Rent
2026-06-21,DROPBOX*SUBSCRIPTION SF CA,-12.81,Subscriptions
2026-06-21,COMCAST CABLE COMM 800-934-6489,-60.79,Utilities
2026-06-21,TARGET #1145 SAN DIEGO CA,-16.11,Shopping
2026-06-22,SQ *POKE BOWL TRUCK SD,-14.75,Dining
2026-06-22,COMCAST CABLE COMM 800-934-6489,-111.85,Utilities
2026-06-22,ACH DEBIT GAS UTILITY CO,-156.68,Utilities
2026-06-22,REC'D PAYPAL TRANSFER,1461.65,Income
2026-06-23,ACH DEBIT GREYSTAR MGMT RENT,-1997.40,Rent
2026-06-23,VENMO CASHOUT DEPOSIT,1651.45,Income
2026-06-23,WESTERN UNION TRANSFER,-20.26,Other
2026-06-23,CHECK #1042,-175.92,Other
2026-06-24,WHOLE FOODS MARKET,-110.87,Groceries
2026-06-24,FIVE GUYS #1145 SAN DIEGO CA,-28.40,Dining
2026-06-24,ACH DEBIT GREYSTAR MGMT RENT,-2340.01,Rent
2026-06-24,PLAYSTATION NETWORK SONY CA,-47.53,Entertainment
2026-06-24,CRICKET WIRELESS #3221,-44.62,Utilities
2026-06-24,ACH CREDIT DIVIDEND PAYMENT,1588.05,Income
2026-06-24,NOTARY SERVICE FEE,-39.01,Other
2026-06-25,CHIPOTLE 2841 DENVER CO,-41.41,Dining
2026-06-25,SPOTIFY USA NEW YORK NY,-22.94,Subscriptions
2026-06-25,PATREON* MEMBERSHIP SF CA,-19.55,Subscriptions
2026-06-25,SPOTIFY LIVE EVENTS SF CA,-33.42,Entertainment
2026-06-25,ACH CREDIT INTUIT QB PAYROLL SVC,2617.56,Income
2026-06-25,VENMO CASHOUT DEPOSIT,1724.47,Income
2026-06-26,OLIVE GARDEN #4409 PHOENIX AZ,-20.95,Dining
2026-06-26,PELOTON MEMBERSHIP NYC NY,-16.17,Subscriptions
2026-06-26,APPLE.COM/BILL 866-712-7753 CA,-899.00,Subscriptions
2026-06-26,VERIZON WIRELESS PAYMENTS,-111.94,Utilities
2026-06-26,SPECTRUM PAYMENT CHARTER COMM,-104.75,Utilities
2026-06-27,CITY PARKING GARAGE #12,-14.17,Transport
2026-06-27,TICKETMASTER 800-653-8000 CA,-67.69,Entertainment
2026-06-27,CRICKET WIRELESS #3221,-104.23,Utilities
2026-06-27,ETSY.COM - MERCH BROOKLYN NY,-30.59,Shopping
2026-06-27,BANK MAINTENANCE FEE,-87.20,Other
2026-06-28,COMCAST CABLE COMM 800-934-6489,-410.00,Utilities
2026-06-28,BANK MAINTENANCE FEE,-174.22,Other
2026-06-28,MONEYGRAM TRANSFER,-100.92,Other
2026-06-29,PUBLIX #1187 ORLANDO FL,-57.43,Groceries
2026-06-29,DOORDASH*WINGSTOP SAN FRANCISCO CA,-29.33,Dining
2026-06-29,PLAYSTATION NETWORK SONY CA,-28.03,Entertainment
2026-06-29,ROSS DRESS FOR LESS,-30.03,Shopping
2026-06-29,ACH CREDIT ACME CORP PAYROLL,2967.49,Income
2026-06-30,SHELL OIL 57443921 PHOENIX AZ,-50.93,Transport
2026-06-30,SIX FLAGS MAGIC MTN VALENCIA CA,-43.48,Entertainment
2026-07-01,VERIZON WIRELESS PAYMENTS,-43.55,Utilities
2026-07-02,CHIPOTLE 2841 DENVER CO,-41.83,Dining
2026-07-02,TST* CHEF'S TASTING ROOM LA JOLLA CA,-280.00,Dining
2026-07-02,T-MOBILE AUTOPAY 800-937-8997,-87.96,Utilities
2026-07-03,VERIZON WIRELESS PAYMENTS,-107.43,Utilities
2026-07-03,HOME DEPOT #4409 PHOENIX AZ,-64.08,Shopping
2026-07-03,ROSS DRESS FOR LESS,-35.16,Shopping
2026-07-04,IN-N-OUT BURGER #221,-35.25,Dining
2026-07-05,AUDIBLE.COM SEATTLE WA,-13.48,Subscriptions
2026-07-05,WAYFAIR.COM ONLINE ORDER,-51.11,Shopping
2026-07-05,BEST BUY 00003221 SEATTLE WA,-22.78,Shopping
2026-07-06,ACH DEBIT MID-AMERICA APT MGMT,-2020.61,Rent
2026-07-06,TJ MAXX #0872 DENVER CO,-142.52,Shopping
2026-07-08,TRADER JOE'S #421 SAN DIEGO CA,-43.38,Groceries
2026-07-08,CHIPOTLE 2841 DENVER CO,-8.81,Dining
2026-07-08,ZAPPOS.COM 800-927-7671 NV,-56.94,Shopping
2026-07-09,ONLINE PMT AIMCO PROPERTIES,-1812.45,Rent
2026-07-09,CASH APP*DEPOSIT,2022.28,Income
2026-07-10,WHOLE FOODS MARKET,-93.60,Groceries
2026-07-10,RENT PAYMENT AVALON BAY COMMUNITIES,-1918.20,Rent
2026-07-10,PLANET FITNESS #0921 DALLAS TX,-11.75,Subscriptions
2026-07-10,T-MOBILE AUTOPAY 800-937-8997,-62.03,Utilities
2026-07-10,GAMESTOP #0093 AUSTIN TX,-128.14,Shopping
2026-07-10,ATM WITHDRAWAL #88213 MAIN ST,-42.33,Other
2026-07-11,SAFEWAY STORE 00456 SEATTLE WA,-94.10,Groceries
2026-07-11,ONLINE PMT AIMCO PROPERTIES,-1752.98,Rent
2026-07-11,SIRIUSXM RADIO SVC,-12.32,Subscriptions
2026-07-12,REGAL CINEMAS 0421 NEW YORK NY,-29.96,Entertainment
2026-07-12,ZELLE DEPOSIT FROM CLIENT,1531.30,Income
2026-07-13,IN-N-OUT BURGER #221,-10.39,Dining
2026-07-13,AMAZON PRIME*MI79K2 SEATTLE WA,-17.68,Subscriptions
2026-07-13,ESCAPE ROOM SD DOWNTOWN,-42.00,Entertainment
2026-07-13,CONSOLIDATED EDISON NYC NY,-58.79,Utilities
2026-07-13,CONSOLIDATED EDISON NYC NY,-60.89,Utilities
2026-07-13,ZELLE DEPOSIT FROM CLIENT,2215.42,Income
2026-07-14,WHOLE FOODS MARKET,-92.41,Groceries
2026-07-14,ACH DEBIT GREYSTAR MGMT RENT,-1857.51,Rent
2026-07-14,VERIZON WIRELESS PAYMENTS,-153.68,Utilities
2026-07-14,ACH CREDIT INTUIT QB PAYROLL SVC,2044.63,Income
2026-07-15,GRUBHUB*ORDER CHICAGO IL,-24.50,Dining
2026-07-15,BOWLERO #2291 CHICAGO IL,-23.94,Entertainment
2026-07-15,SPOTIFY LIVE EVENTS SF CA,-67.88,Entertainment
2026-07-15,SPECTRUM PAYMENT CHARTER COMM,-136.88,Utilities
2026-07-15,LATE PAYMENT FEE,-50.20,Other
2026-07-16,FIVE GUYS #1145 SAN DIEGO CA,-11.02,Dining
2026-07-16,RENT PAYMENT ESSEX PROPERTY TRUST,-2239.96,Rent
2026-07-16,T-MOBILE AUTOPAY 800-937-8997,-114.68,Utilities
2026-07-17,STARBUCKS STORE 08812 PORTLAND OR,-25.48,Dining
2026-07-17,SOUTHWEST.COM RESERVATIONS TX,-43.24,Transport
2026-07-17,XCEL ENERGY BILLPAY,-69.16,Utilities
2026-07-17,T-MOBILE AUTOPAY 800-937-8997,-73.49,Utilities
2026-07-18,ACH DEBIT UDR COMMUNITIES,-1942.70,Rent
2026-07-18,DISNEY PLUS 888-905-7888 CA,-6.31,Subscriptions
2026-07-18,REC'D PAYPAL TRANSFER,1302.66,Income
2026-07-18,BANK MAINTENANCE FEE,-137.68,Other
2026-07-18,BANK MAINTENANCE FEE,-157.91,Other
2026-07-19,ONLINE PMT BLUEROCK PROPERTIES LLC,-2393.94,Rent
2026-07-19,ENTERPRISE RENT-A-CAR,-10.75,Transport
2026-07-19,CHEVRON 0091827 LOS ANGELES CA,-15.49,Transport
2026-07-19,T-MOBILE AUTOPAY 800-937-8997,-135.72,Utilities
2026-07-20,SPECTRUM PAYMENT CHARTER COMM,-169.26,Utilities
2026-07-20,TJ MAXX #0872 DENVER CO,-18.33,Shopping
2026-07-20,INTEREST PAYMENT SAVINGS,1123.48,Income
2026-07-21,PUBLIX #1187 ORLANDO FL,-90.81,Groceries
2026-07-21,ACH DEBIT EQUITY RESIDENTIAL,-2267.66,Rent
2026-07-21,REC'D PAYPAL TRANSFER,1434.03,Income
2026-07-21,FOREIGN TXN FEE,-127.61,Other
2026-07-21,OVERDRAFT FEE,-76.95,Other
2026-07-22,GROCERY OUTLET BARGAIN MKT,-21.65,Groceries
2026-07-22,REGAL CINEMAS 0421 NEW YORK NY,-34.75,Entertainment
2026-07-22,COMCAST CABLE COMM 800-934-6489,-101.04,Utilities
2026-07-23,WHOLE FOODS MARKET,-99.12,Groceries
2026-07-23,IN-N-OUT BURGER #221,-43.00,Dining
2026-07-23,FIVE GUYS #1145 SAN DIEGO CA,-41.38,Dining
2026-07-23,STEAMGAMES.COM 425-889-9642 WA,-31.30,Entertainment
2026-07-24,SUBWAY #8821 AUSTIN TX,-40.35,Dining
2026-07-24,ACH DEBIT UDR COMMUNITIES,-2205.40,Rent
2026-07-24,DISNEY PLUS 888-905-7888 CA,-20.76,Subscriptions
2026-07-24,PELOTON MEMBERSHIP NYC NY,-13.16,Subscriptions
2026-07-24,CONSOLIDATED EDISON NYC NY,-149.40,Utilities
2026-07-24,CRICKET WIRELESS #3221,-89.37,Utilities
2026-07-24,NATIONAL GRID UTILITY BILLPAY,-108.16,Utilities
2026-07-24,ZAPPOS.COM 800-927-7671 NV,-69.00,Shopping
2026-07-24,PETCO ANIMAL SUPPLIES,-97.39,Shopping
2026-07-24,ACH CREDIT ACME CORP PAYROLL,3149.27,Income
2026-07-25,FIVE GUYS #1145 SAN DIEGO CA,-36.19,Dining
2026-07-25,ZELLE PMT TO LANDLORD J RIVERA,-2142.74,Rent
2026-07-25,ACH DEBIT MID-AMERICA APT MGMT,-2056.19,Rent
2026-07-25,HULU 877-830-4858 CA,-21.36,Subscriptions
2026-07-25,VENMO CASHOUT DEPOSIT,1957.01,Income
2026-07-26,ONLINE PMT BLUEROCK PROPERTIES LLC,-2013.23,Rent
2026-07-26,DIRECT DEP EMPLOYER DISBURSEMENT,150.00,Income
2026-07-27,H MART GROCERY,-103.20,Groceries
2026-07-27,MUSEUM OF MODERN ART NYC NY,-65.87,Entertainment
2026-07-27,ACH DEBIT GAS UTILITY CO,-114.17,Utilities
2026-07-27,CASH APP*DIRECT DEPOSIT,1779.85,Income
2026-07-27,DMV RENEWAL FEE SACRAMENTO CA,-58.00,Other
2026-07-28,FIVE GUYS #1145 SAN DIEGO CA,-17.06,Dining
2026-07-28,REGAL CINEMAS 0421 NEW YORK NY,-83.92,Entertainment
2026-07-28,PLAYSTATION NETWORK SONY CA,-13.93,Entertainment
2026-07-28,SPECTRUM PAYMENT CHARTER COMM,-161.97,Utilities
2026-07-29,ONLINE PMT MAA APARTMENTS,-2214.59,Rent
2026-07-29,NYTIMES*SUBSCRIPTION 800-698-4637,-9.72,Subscriptions
2026-07-29,SOUTHWEST.COM RESERVATIONS TX,-30.54,Transport
2026-07-29,SIX FLAGS MAGIC MTN VALENCIA CA,-70.57,Entertainment
2026-07-29,VERIZON WIRELESS PAYMENTS,-77.49,Utilities
2026-07-30,ALDI 71029 CHICAGO IL,-59.38,Groceries
2026-07-30,TST* THE CORNER BISTRO NYC NY,-44.73,Dining
2026-07-30,ADOBE  *CREATIVE CLD SAN JOSE CA,-20.16,Subscriptions
2026-07-30,DIRECT DEP EMPLOYER DISBURSEMENT,2648.85,Income
2026-07-31,ZELLE PMT TO LANDLORD J RIVERA,-2006.86,Rent
2026-07-31,BART CLIPPER RELOAD SAN FRANCISCO CA,-39.05,Transport
2026-07-31,ARCO AMPM #5521 OAKLAND CA,-8.14,Transport
2026-07-31,BOWLERO #2291 CHICAGO IL,-58.27,Entertainment
2026-07-31,IKEA,-212.40,Shopping
2026-08-01,PANERA BREAD #601934 DALLAS TX,-44.88,Dining
2026-08-01,REGAL CINEMAS 0421 NEW YORK NY,-83.15,Entertainment
